Pathway_ID	Pathway_term	Pvalue	FDR	Number_significant_genes_in_pathway	significant_genes_in_pathway
bta04724	Glutamatergic synapse	3.386E-01	4.485E-01	2	GRIK3,GRM7
bta04071	Sphingolipid signaling pathway	4.181E-02	2.357E-01	4	PPP2R1A,PPP2R5C,NFKB1,LOC616695
bta04530	Tight junction	5.939E-02	2.357E-01	4	PPP2R1A,PARD3,MAGI1,LOC616695
bta04514	Cell adhesion molecules (CAMs)	4.797E-01	5.597E-01	2	NRXN1,NLGN3
bta04740	Olfactory transduction	3.425E-35	3.356E-33	71	LOC618816,LOC782591,LOC515540,OR51V1,LOC530354,LOC524658,LOC516904,LOC532441,OR7A17,LOC100298773,LOC618125,LOC520835,LOC510100,LOC522582,LOC540082,LOC518561,LOC511753,LOC526294,LOC618112,LOC788692,LOC614095,LOC781324,LOC532238,LOC618010,LOC512340,OR6A2,LOC783518,LOC787774,LOC788583,LOC519161,LOC510046,LOC615284,LOC523090,OR13F1,LOC782475,LOC783707,OR2AG1,OR9K2,LOC788649,LOC786202,LOC100847112,LOC512956,LOC783598,LOC100140912,OR9A4,LOC532486,LOC100299465,LOC527216,LOC505646,LOC784050,LOC781713,LOC782624,LOC100298645,LOC788777,LOC618124,LOC787574,LOC787760,LOC781758,LOC511622,LOC516636,OR51E2,OR2AG2,LOC614895,LOC100847301,LOC509641,LOC504888,LOC511509,LOC506323,LOC788633,LOC788246,LOC529303
bta04650	Natural killer cell mediated cytotoxicity	3.619E-01	4.704E-01	2	IFNGR2,IFNAR1
bta04144	Endocytosis	6.782E-03	1.727E-01	8	ERBB4,ARFGAP2,EPN1,KDR,CAV1,CAV2,PARD3,RAB8A
bta04380	Osteoclast differentiation	1.551E-02	1.915E-01	5	JUND,IFNGR2,IFNAR1,NFKB1,FOSB
bta04620	Toll-like receptor signaling pathway	9.950E-02	2.438E-01	3	IFNAR1,TLR4,NFKB1
bta04976	Bile secretion	1.733E-01	3.204E-01	2	ABCB1,AQP1
bta04141	Protein processing in endoplasmic reticulum	5.335E-01	5.941E-01	2	SEC24A,SAR1B
bta05164	Influenza A	1.130E-01	2.576E-01	4	IFNGR2,IFNAR1,TLR4,NFKB1
bta05161	Hepatitis B	7.014E-02	2.357E-01	4	PCNA,IFNAR1,TLR4,NFKB1
bta05146	Amoebiasis	3.112E-01	4.268E-01	2	TLR4,NFKB1
bta05202	Transcriptional misregulation in cancer	1.044E-01	2.495E-01	4	EYA1,LMO2,PLAT,NFKB1
bta00270	Cysteine and methionine metabolism	7.784E-02	2.357E-01	2	GOT1,AMD1
bta01100	Metabolic pathways	1.791E-01	3.250E-01	17	GPAA1,GOT1,PI4KB,ACSL3,HYI,CYC1,CDS2,CYP4A11,LOC538702,NMNAT3,SORD,ST6GAL2,MSMO1,HMGCS1,NDUFA10,AMD1,PNP
bta03015	mRNA surveillance pathway	1.563E-02	1.915E-01	4	PPP2R5C,PPP2R1A,ACIN1,LOC616695
bta05030	Cocaine addiction	9.395E-02	2.423E-01	2	NFKB1,FOSB
bta05140	Leishmaniasis	4.253E-02	2.357E-01	3	IFNGR2,TLR4,NFKB1
bta04022	cGMP-PKG signaling pathway	2.670E-01	3.792E-01	3	MEF2A,EDNRA,VASP
bta03008	Ribosome biogenesis in eukaryotes	2.082E-01	3.345E-01	2	NAT10,UTP14A
bta04080	Neuroactive ligand-receptor interaction	1.317E-02	1.915E-01	8	PTGDR,EDNRA,MC1R,MC4R,GRIK3,GRM7,GHRHR,PARD3
bta00480	Glutathione metabolism	1.109E-01	2.576E-01	2	OPLAH,MGST2
bta04070	Phosphatidylinositol signaling system	9.096E-02	2.409E-01	3	PI4KB,TMEM55B,CDS2
bta03010	Ribosome	4.224E-01	5.240E-01	2	MRPL17,MRPL3
bta04152	AMPK signaling pathway	4.288E-02	2.357E-01	4	PPP2R5C,PPP2R1A,LOC616695,RAB8A
bta04260	Cardiac muscle contraction	5.343E-02	2.357E-01	3	CYC1,TNNT2,TPM4
bta04662	B cell receptor signaling pathway	1.965E-01	3.324E-01	2	LYN,NFKB1
bta04015	Rap1 signaling pathway	1.967E-01	3.324E-01	4	MAGI1,KDR,VASP,PARD3
bta05152	Tuberculosis	1.257E-01	2.799E-01	4	RFX5,IFNGR2,TLR4,NFKB1
bta04064	NF-kappa B signaling pathway	7.681E-02	2.357E-01	3	LYN,TLR4,NFKB1
bta04261	Adrenergic signaling in cardiomyocytes	2.101E-02	2.068E-01	5	PPP2R5C,TNNT2,TPM4,PPP2R1A,LOC616695
bta04010	MAPK signaling pathway	5.117E-01	5.831E-01	3	JUND,NTRK2,NFKB1
bta00190	Oxidative phosphorylation	4.334E-01	5.309E-01	2	CYC1,NDUFA10
bta04924	Renin secretion	1.506E-01	3.012E-01	2	EDNRA,AQP1
bta04920	Adipocytokine signaling pathway	1.733E-01	3.204E-01	2	ACSL3,NFKB1
bta05205	Proteoglycans in cancer	6.872E-02	2.357E-01	5	ERBB4,KDR,CAV1,TLR4,CAV2
bta05010	Alzheimer's disease	5.620E-01	6.188E-01	2	CYC1,NDUFA10
bta04630	Jak-STAT signaling pathway	5.204E-01	5.862E-01	2	IFNGR2,IFNAR1
bta00970	Aminoacyl-tRNA biosynthesis	8.417E-02	2.357E-01	2	FARSB,TARS
bta00561	Glycerolipid metabolism	1.432E-01	2.923E-01	2	LOC538702,MOGAT1
bta04210	Apoptosis	4.407E-01	5.331E-01	2	AIFM1,NFKB1
bta00760	Nicotinate and nicotinamide metabolism	4.356E-02	2.357E-01	2	NMNAT3,PNP
bta03050	Proteasome	8.417E-02	2.357E-01	2	PSMB11,PSMB5
bta04114	Oocyte meiosis	1.293E-01	2.816E-01	3	PPP2R5C,PPP2R1A,LOC616695
bta04350	TGF-beta signaling pathway	2.239E-01	3.483E-01	2	PPP2R1A,LOC616695
bta05321	Inflammatory bowel disease (IBD)	3.551E-02	2.357E-01	3	IFNGR2,TLR4,NFKB1
bta05410	Hypertrophic cardiomyopathy (HCM)	2.082E-01	3.345E-01	2	TNNT2,TPM4
bta05168	Herpes simplex infection	3.136E-01	4.268E-01	3	IFNGR2,IFNAR1,NFKB1
bta04728	Dopaminergic synapse	1.592E-01	3.059E-01	3	PPP2R5C,PPP2R1A,LOC616695
bta05132	Salmonella infection	1.237E-02	1.915E-01	4	DYNC1H1,IFNGR2,TLR4,NFKB1
bta04060	Cytokine-cytokine receptor interaction	2.417E-01	3.516E-01	4	IFNGR2,IFNAR1,KDR,CCL28
bta03018	RNA degradation	1.926E-01	3.324E-01	2	LSM4,EXOSC4
